UniqueCount	AmbigCount
0	342
0	2015
13	1318
9	5871
44	1605
0	4282
26	742
84	136
34	3198
1	4263
0	1656
1	462
0	1775
1	1535
32	1724
191	144
99	179
103	3194
17	3236
0	644
9	3335
33	334
231	2
114	2
185	373
207	293
60	4411
0	4175
248	0
98	3279
124	283
26	8471
0	9993
0	10327
0	8825
0	10337
0	8005
34	432
1	1023
26	1357
42	1523
0	3648
0	4113
0	3552
0	4039
0	3952
0	3098
18	7776
0	2706
0	1558
109	97
73	3401
0	722
1	1510
0	617
0	1133
0	1146
344	0
0	1642
0	1392
0	948
17	1468
138	1329
0	993
266	642
235	418
138	940
322	522
0	6569
0	6541
0	1696
16	717
179	2624
69	415
74	2674
59	2532
124	2325
350	653
205	653
73	1169
0	1222
33	1081
0	206
8	1924
63	372
32	1475
277	155
4	1876
30	540
2271	197
91	197
34	2077
23	3022
0	3490
104	3808
77	3084
0	3490
168	8
0	62
325	316
256	402
52	0
121	0
37	7343
45	7344
100	7324
126	525
55	360
84	8
100	8
68	5367
60	2965
36	6410
128	6550
0	936
18	660
200	16
19	492
0	577
1186	1158
1217	1352
141	1010
72	1
108	453
252	1078
153	972
153	997
108	285
160	10
123	114
84	55
1281	1141
73	1141
82	801
46	662
124	335
300	1
172	4402
0	4139
0	4167
0	4430
133	4323
24	3118
1	4047
1339	163
91	163
234	54
1556	5239
42	450
0	5239
38	460
81	24
87	1537
152	1537
150	1066
186	1602
1	4015
124	3758
151	842
170	3
39	61
136	64
200	279
43	818
57	865
62	818
50	836
62	889
147	936
269	284
137	2643
57	2680
149	329
0	9054
16	7850
0	8513
8	9136
68	8191
96	7095
0	6801
82	842
57	5774
188	3808
82	247
168	577
150	2361
97	801
129	0
293	15
89	0
816	248
86	248
549	1679
348	1355
0	669
6	434
43	411
35	251
4075	0
0	4870
71	4545
87	1043
0	8426
0	8486
2	8486
89	192
94	277
119	3098
433	1753
373	1563
5	1617
80	1362
33	1621
12	620
6	695
69	187
43	3589
0	3801
78	3696
432	3541
131	278
686	548
83	243
43	2676
201	933
30	3049
40	3301
32	3049
119	64
215	94
52	1271
152	933
88	963
196	147
222	797
0	383
81	514
0	4686
53	4925
41	4725
79	4639
0	4492
212	4422
11	3864
77	1209
136	4327
9	1618
36	1461
267	204
72	1843
69	23
156	23
71	23
275	45
17	4994
92	4994
39	0
34	1196
19	1179
60	894
194	481
73	296
249	129
0	6614
0	6398
0	6711
0	7059
14	5952
0	6896
0	6661
13	3420
214	0
620	0
990	0
222	0
322	0
205	0
94	0
312	0
202	0
126	0
191	0
160	0
388	0
91	0
157	0
111	0
165	0
99	0
132	0
105	0
191	0
141	0
80	0
90	0
73	0
60	0
69	0
49	0
114	0
198	0
108	0
167	0
172	0
274	0
85	0
207	6427
114	66
103	6363
170	3733
210	168
455	1048
37	811
125	867
38	837
102	51
415	824
0	4032
64	3813
71	3540
239	1548
211	20
179	1239
1903	363
47	123
338	227
232	99
424	2
108	2
143	1014
44	887
57	986
117	3
3132	713
126	22
99	0
174	1739
76	264
0	4171
0	2894
1	3619
240	2477
3	2845
68	3137
124	44
87	680
205	2870
53	285
29	1367
575	713
181	319
44	532
58	551
55	1035
133	1258
250	0
128	1463
0	2562
72	1949
96	649
76	1055
62	968
85	771
37	15061
0	15020
0	7993
0	14763
0	15105
2	9558
33	446
230	25
35	606
0	4274
10	891
26	5462
681	3213
27	4502
277	2144
96	3632
170	0
43	60
2	1952
87	1765
76	1067
28	1025
38	835
86	917
89	1917
184	193
310	2094
588	913
149	912
59	327
0	2123
550	3636
0	3538
131	232
34	3037
44	1545
0	1084
0	1360
48	869
0	631
38	5073
106	1443
114	882
98	2364
31	853
190	2227
53	472
180	1065
636	860
25	860
45	0
2659	358
40	358
449	1927
128	571
19	1992
37	942
28	1944
196	0
209	121
81	1929
64	66
131	143
21	1687
84	437
224	601
93	0
102	58
213	15
127	1622
56	1389
0	1609
113	1362
15	5410
30	5348
53	5396
136	5144
370	0
472	0
90	41
196	513
391	2836
215	588
147	41
42	615
102	1694
45	1531
52	1248
465	4
147	655
86	581
70	15276
138	97
72	3675
475	12145
15	15526
916	11511
56	74
0	10152
43	1341
164	3
96	1
0	1197
113	1000
0	908
0	1031
13	1665
105	2960
0	1954
104	930
0	2103
94	0
158	2785
53	3502
54	3433
0	4259
62	2907
15	1159
97	1688
0	2970
65	2970
55	2532
168	789
139	263
225	842
7	3376
0	2589
196	740
96	3058
60	2036
49	156
46	573
199	344
0	714
99	3345
0	2461
169	3493
126	1468
124	328
134	38
72	1302
33	1259
231	93
25	892
107	1046
324	199
167	0
220	0
19	14219
351	1044
54	615
3839	17624
0	17753
39	15123
0	17356
1	17945
0	14620
0	16909
152	431
45	2904
0	11108
116	0
176	9866
89	1411
177	95
28	1471
91	1468
165	0
197	811
139	105
1	37
0	1472
49	1399
0	2179
0	1378
30	697
0	2085
100	826
97	74
63	294
104	351
968	1213
102	1060
95	144
73	132
92	87
106	167
78	608
28	0
94	349
20	1089
70	1027
57	1104
719	1701
77	1694
2083	0
252	0
10	1645
0	1404
4	951
47	976
0	1012
0	1468
0	388
2	6881
0	6829
46	6472
5	7111
0	6802
68	2277
1	1247
49	1207
339	142
180	0
37	6482
0	6645
0	6569
245	6441
72	6628
37	6532
125	6438
21	6425
0	6527
59	6538
18	571
457	185
347	112
74	2385
69	2385
0	8839
24	7910
213	7945
42	2222
46	1995
50	153
87	2376
537	1
48	1074
94	0
90	378
369	182
35	70
90	0
81	0
1087	0
87	182
504	7070
86	5315
57	7219
37	6864
572	3229
136	562
13	3699
47	3466
58	3612
67	3388
0	2422
4	2282
64	1136
42	1394
11	521
214	0
73	238
9	490
155	839
59	742
200	423
63	495
315	0
69	186
2963	952
40	209
351	557
131	392
0	3696
17	3557
100	0
105	58
153	124
132	1025
105	899
25	991
42	549
110	736
118	613
1813	446
292	430
81	16
58	2326
133	2609
80	2607
25	2494
57	2494
194	0
412	833
439	2588
1457	2587
28	1579
494	0
122	6320
16	6318
325	5825
121	267
80	479
135	448
141	283
58	1779
30	1675
81	1779
1049	1992
14	2146
71	519
18	770
8	775
115	732
208	132
119	179
20	2710
50	17502
118	16949
0	11134
91	16622
0	29904
168	2756
73	6335
60	2584
27	9932
599	2605
1285	30516
446	1758
0	31554
125	30383
201	353
74	1
391	26430
77	2131
249	2307
190	2449
116	6875
66	1931
20	2136
101	1028
2116	2573
0	3979
460	3581
36	832
63	917
62	1040
64	759
149	0
29	420
123	424
67	16
155	475
38	475
61	8959
196	10670
157	15386
51	12190
0	11948
245	15154
53	11916
43	713
0	1745
11	12179
0	16737
3015	16409
120	57
22	5803
3	7686
122	5857
142	6011
10	7386
287	675
785	641
224	3590
8	3321
39	7380
1000	1695
6127	2658
219	2658
230	0
56	624
42	932
18	755
70	596
10	271
10	164
135	230
9	8663
217	7840
39	480
10	1713
1989	8239
181	242
128	154
45	7460
155	7038
25	2602
0	8128
14	8274
29	1591
46	913
0	11951
0	11817
17	12449
36	10954
0	12311
0	12849
0	12234
0	12398
39	3890
26	4763
102	2015
89	2064
4	2589
180	2554
50	1010
488	4
143	2864
21	2865
209	421
97	754
425	920
55	393
106	628
22	529
59	506
1026	11710
86	8294
1013	11909
115	11938
47	334
41	1556
190	678
64	2805
55	3055
63	3189
29	3121
74	3384
135	0
817	753
280	495
77	0
